species,state,fert_ster_leaf_area_diff,fert_ster_leaf_perim_diff,fert_ster_leaf_length_diff,soral_lamina_ratio,ster_leaf_disection,fert_leaf_dissection,stat2
Cranfillia hirsuta,NELD,0.198,0.681,0.648,1,2.315,7.959,Non-mono
Cranfillia nigra,NELD,0.142,0.658,0.859,1,3.466,16.02,Non-mono
Cranfillia vulcanica,NELD,0.326,0.933,0.887,1.013,2.946,8.431,Non-mono
Diploblechnum diversifolium,NELD,0.3,0.57,0.944,0.974,4.105,7.792,Non-mono
Diploblechnum neglectum,NELD,0.577,2.312,2.221,1.005,4.725,18.941,Non-mono
Doodia aspera,Mono,0.899,0.99,1.018,0.325,3.127,3.443,Mono
Doodia kunthiana,Mono,0.682,1.06,1.059,0.12,4.49,6.976,Mono
Doodia media,Mono,0.773,0.915,0.91,0.514,6.964,8.249,Mono
Doodia paschalis,Mono,1.402,1.267,1.296,0.233,4.271,3.858,Mono
Icarus filiformis,NELD,0.227,1.329,1.504,1.031,3.104,18.198,Non-mono
Lomaria discolor,NELD,0.214,0.905,0.815,1,3.595,15.211,Non-mono
Lomaria nuda,NELD,0.176,0.343,0.338,1,5.13,10.026,Non-mono
Lomaria spannagelii,NELD,0.309,1.224,0.827,1.002,1.958,7.765,Non-mono
Lomaridium acutum,NELD,0.222,1.078,1.027,1,2.953,14.342,Non-mono
Lomaridium attenuatum,NELD,0.251,0.663,0.688,0.997,4.293,11.349,Non-mono
Lomaridium contiguum,NELD,0.394,1.283,1.175,1,3.782,12.308,Non-mono
Lomaridium ensiforme,NELD,0.155,0.787,0.83,1,3.186,16.169,Non-mono
Lomaridium fragile,NELD,0.156,0.79,0.829,1,3.133,15.867,Non-mono
Lomaridium fuscosquamosum,NELD,0.319,0.914,0.89,1,4.005,11.485,Non-mono
Lomariocycas magellanica,NELD,0.157,0.874,0.867,1,2.678,14.917,Non-mono
Lomariocycas schomburgkii,NELD,0.274,1.147,0.609,0.99,1.668,6.992,Non-mono
Lomariocycas tabularis,NELD,0.438,1.426,0.731,1,3.048,9.926,Non-mono
Lomariocycas yungensis,NELD,0.072,0.666,0.671,1.04,1.8,16.733,Non-mono
Lorinseria areolata,NELD,0.222,0.917,0.921,1,1.949,8.043,Non-mono
Matteuccia struthiopteris,NELD,0.192,0.31,0.393,1.021,8.132,13.109,Non-mono
Neoblechnum brasiliense,Mono,1.064,1.263,1.277,0.183,2.816,3.342,Mono
Oceaniopteris cartilaginea,Mono,0.715,0.849,0.87,0.146,2.772,3.292,Mono
Oceaniopteris ciliata,NELD,0.178,0.9,0.965,1,1.514,7.663,Non-mono
Oceaniopteris gibba,NELD,0.18,0.566,0.494,1,3.419,10.775,Non-mono
Onoclea sensibilis,NELD,0.081,0.209,0.286,1,1.932,4.975,Non-mono
Sadleria cyatheoides,Mono,0.952,1.023,0.996,0.617,12.529,13.464,Mono
Sadleria pallida,Mono,0.569,0.831,0.739,0.928,10.409,15.196,Mono
Sadleria unisora,Mono,0.75,0.851,0.808,0.399,11.85,13.44,Mono
Telmatoblechnum indicum,Mono,0.866,0.977,0.939,0.38,3.962,4.469,Mono
Woodwardia cf. spinulosa,Mono,1.229,1.159,1.172,0.413,4.042,3.811,Mono
Woodwardia fimbriata,Mono,1.324,1.208,1.257,0.274,5.029,4.587,Mono
Woodwardia kempii,Mono,1.268,1.217,1.25,0.413,3.98,3.823,Mono
Woodwardia radicans,Mono,1.002,1.08,1.035,0.207,4.157,4.483,Mono
